div_size,avg_time
3,0.1000
5,0.1000
7,0.1000
9,0.3000
11,0.2000
13,0.1000
15,0.0000
17,0.1000
19,0.4000
21,0.3000
23,0.2000
25,0.2000
27,0.2000
29,0.1000
31,0.4000
33,0.2000
35,0.3000
37,0.2000
39,0.3000
41,0.5000
43,0.3000
45,0.2000
47,0.5000
49,0.5000
51,0.1000
53,0.5000
55,0.5000
57,0.5000
59,0.4000
61,0.5000
63,0.4000
65,0.3000
67,0.3000
69,0.5000
71,0.5000
73,0.5000
75,0.4000
77,0.5000
79,0.5000
81,0.5000
83,0.5000
85,0.4000
87,0.6000
89,0.5000
91,0.6000
93,0.4000
95,0.4000
97,0.6000
99,0.6000
101,0.6000
103,0.6000
105,0.6000
107,0.4000
109,0.6000
111,0.6000
113,0.6000
115,0.8000
117,0.7000
119,0.8000
121,0.6000
123,0.6000
125,0.6000
127,0.6000
129,0.8000
131,0.8000
133,0.8000
135,0.7000
137,0.8000
139,0.7000
141,0.6000
143,0.9000
145,0.9000
147,0.9000
149,0.7000
151,0.7000
153,0.9000
155,0.5000
157,1.0000
159,1.0000
161,1.0000
163,0.3000
165,1.0000
167,1.0000
169,1.1000
171,1.0000
173,0.9000
175,1.0000
177,1.0000
179,0.9000
181,0.9000
183,0.9000
185,1.0000
187,0.9000
189,1.0000
191,1.0000
193,0.9000
195,1.1000
197,1.0000
199,1.2000
201,1.0000
203,1.0000
205,1.0000
207,1.1000
209,1.1000
211,1.0000
213,1.1000
215,1.0000
217,1.1000
219,1.3000
221,1.0000
223,1.1000
225,1.0000
227,1.2000
229,1.1000
231,1.1000
233,1.2000
235,1.1000
237,1.2000
239,1.3000
241,1.0000
243,1.3000
245,1.2000
247,1.1000
249,1.2000
251,1.3000
253,1.3000
255,1.3000
257,1.4000
259,1.2000
261,1.3000
263,1.3000
265,1.4000
267,1.2000
269,1.2000
271,1.3000
273,1.3000
275,1.4000
277,1.6000
279,1.5000
281,1.3000
283,1.5000
285,1.4000
287,1.6000
289,1.4000
291,1.4000
293,1.6000
295,1.6000
297,1.4000
299,1.5000
301,1.9000
303,1.6000
305,1.4000
307,1.5000
309,1.4000
311,1.5000
313,1.5000
315,1.7000
317,1.5000
319,2.0000
321,1.5000
323,1.6000
325,1.5000
327,1.7000
329,1.6000
331,1.7000
333,1.7000
335,1.6000
337,1.6000
339,1.7000
341,1.6000
343,1.6000
345,1.8000
347,1.8000
349,1.6000
351,1.8000
353,1.8000
355,1.8000
357,2.1000
359,1.6000
361,1.8000
363,2.0000
365,1.5000
367,1.8000
369,1.7000
371,1.9000
373,1.7000
375,2.0000
377,2.0000
379,2.0000
381,1.9000
383,1.9000
385,2.4000
387,1.6000
389,2.3000
391,2.1000
393,2.0000
395,2.1000
397,1.9000
399,2.0000
401,2.1000
403,2.1000
405,2.0000
407,1.9000
409,1.9000
411,2.0000
413,2.2000
415,1.9000
417,2.1000
419,2.1000
421,2.1000
423,2.1000
425,2.1000
427,2.1000
429,2.3000
431,2.0000
433,2.0000
435,2.3000
437,2.1000
439,2.1000
441,2.2000
443,2.0000
445,2.1000
447,2.1000
449,2.2000
451,2.2000
453,2.0000
455,2.1000
457,2.1000
459,2.5000
461,2.4000
463,2.1000
465,2.2000
467,2.4000
469,2.3000
471,2.7000
473,2.9000
475,2.4000
477,2.3000
479,2.4000
481,2.3000
483,2.2000
485,2.4000
487,2.3000
489,2.5000
491,2.3000
493,2.2000
495,2.3000
497,2.4000
499,2.6000
501,2.4000
503,2.6000
505,2.4000
507,2.0000
509,2.5000
511,2.5000
513,2.6000
515,2.7000
517,2.5000
519,2.6000
521,2.8000
523,2.7000
525,2.7000
527,2.8000
529,2.6000
531,2.4000
533,2.6000
535,2.5000
537,2.5000
539,6.1000
541,2.6000
543,2.5000
545,2.5000
547,2.6000
549,2.7000
551,2.7000
553,2.8000
555,2.6000
557,2.7000
559,2.8000
561,2.8000
563,2.6000
565,2.8000
567,2.8000
569,2.9000
571,2.5000
573,2.8000
575,2.9000
577,2.9000
579,3.1000
581,3.1000
583,3.0000
585,3.0000
587,2.7000
589,2.9000
591,3.0000
593,3.0000
595,2.9000
597,2.6000
599,2.5000
601,3.0000
603,2.9000
605,3.1000
607,2.9000
609,3.0000
611,2.9000
613,2.9000
615,3.1000
617,3.3000
619,3.0000
621,3.0000
623,2.9000
625,3.1000
627,2.8000
629,3.1000
631,2.8000
633,3.2000
635,2.9000
637,3.1000
639,2.9000
641,3.2000
643,3.2000
645,2.9000
647,3.0000
649,3.3000
651,3.3000
653,2.9000
655,3.0000
657,3.2000
659,3.1000
661,3.3000
663,3.3000
665,3.4000
667,3.3000
669,3.4000
671,3.3000
673,3.3000
675,3.4000
677,3.1000
679,3.4000
681,3.3000
683,3.2000
685,3.2000
687,3.3000
689,3.3000
691,3.1000
693,3.4000
695,4.2000
697,4.1000
699,3.7000
701,3.4000
703,3.3000
705,3.2000
707,3.5000
709,3.7000
711,3.5000
713,3.5000
715,3.5000
717,3.4000
719,3.5000
721,3.9000
723,3.6000
725,3.6000
727,3.5000
729,3.4000
731,3.4000
733,5.8000
735,4.6000
737,3.6000
739,3.5000
741,3.6000
743,3.9000
745,3.6000
747,3.7000
749,3.7000
751,3.4000
753,3.6000
755,3.5000
757,3.5000
759,3.8000
761,3.7000
763,4.0000
765,3.4000
767,3.6000
769,4.1000
771,3.9000
773,3.8000
