arr_size,avg_partition_size
100,46.8000
200,98.3000
300,149.1000
400,115.1000
500,223.8000
600,270.9000
700,326.2000
800,392.4000
900,443.5000
1000,498.9000
1100,521.2000
1200,571.4000
1300,621.4000
1400,702.6000
1500,731.4000
1600,804.2000
1700,840.4000
1800,870.9000
1900,901.5000
2000,963.8000
2100,1043.3000
2200,1083.7000
2300,1138.9000
2400,1195.7000
2500,1205.3000
2600,1142.7000
2700,1235.1000
2800,1148.5000
2900,1187.3000
3000,1256.8000
3100,1446.4000
3200,1547.0000
3300,1554.2000
3400,1610.0000
3500,1596.6000
3600,1689.4000
3700,1714.6000
3800,1828.8000
3900,1885.5000
4000,1930.4000
4100,1986.5000
4200,1991.9000
4300,2084.6001
4400,2091.5000
4500,2176.8999
4600,2226.3999
4700,2293.0000
4800,2311.6001
4900,2406.1001
5000,2470.2000
5100,2532.8000
5200,2539.0000
5300,2592.7000
5400,2646.6001
5500,2681.0000
5600,2757.7000
5700,2803.1001
5800,2877.2000
5900,2893.2000
6000,2919.0000
6100,3001.8000
6200,3080.3000
6300,3089.3999
6400,3141.1001
6500,3203.0000
6600,3207.5000
6700,3247.8000
6800,3361.8000
6900,3432.5000
7000,3472.2000
7100,3557.8999
7200,3583.0000
7300,3514.1001
7400,3583.8000
7500,3696.3000
7600,3638.3000
7700,3729.0000
7800,3764.8000
7900,3861.8999
8000,3900.1001
8100,3954.8000
8200,4024.0000
8300,4049.8999
8400,4088.7000
8500,4109.2002
8600,4160.2002
8700,4252.7002
8800,4308.3999
8900,4383.8999
9000,4388.3999
9100,4423.2002
9200,4475.5000
9300,4548.0000
9400,4597.5000
9500,4651.7998
9600,4658.5000
9700,4793.3999
9800,4780.2002
9900,4881.1001
10000,4893.7998
10100,4913.8999
10200,5022.6001
10300,5049.1001
10400,5154.7002
10500,5212.5000
10600,5277.2998
10700,5247.5000
10800,5328.2002
10900,5393.7002
11000,5422.6001
11100,5481.5000
11200,5529.1001
11300,5571.5000
11400,5680.3999
11500,5646.2002
11600,5751.6001
11700,5786.3999
11800,5836.7002
11900,5911.7998
12000,5950.1001
12100,5955.6001
12200,5947.2002
12300,6014.6001
12400,6003.6001
12500,6094.2998
12600,6127.3999
12700,6216.3999
12800,6265.7998
12900,6345.7998
13000,6450.2998
13100,6471.3999
13200,6481.8999
13300,6549.0000
13400,6577.0000
13500,6622.6001
13600,6689.7998
13700,6687.6001
13800,6847.7002
13900,6800.0000
14000,6910.2998
14100,6891.2002
14200,6908.2998
14300,6992.8999
14400,7109.7998
14500,7159.6001
14600,7187.3999
14700,7288.2998
14800,7313.0000
14900,7331.0000
15000,7403.3999
15100,7446.7998
15200,7472.6001
15300,7526.5000
15400,7596.1001
15500,7720.1001
15600,7726.8999
15700,7769.5000
15800,7809.1001
15900,7877.0000
16000,7898.3999
16100,7978.2002
16200,8008.8999
16300,8007.6001
16400,8069.7002
16500,8121.2998
16600,8219.5000
16700,8292.5996
16800,8343.0996
16900,7799.6001
17000,7370.2002
17100,8242.5996
17200,6843.1001
17300,7311.2998
17400,8210.7002
17500,8530.9004
17600,8553.5000
17700,8443.0000
17800,8695.2998
17900,8319.7998
18000,8568.5996
18100,8354.0000
18200,9003.0000
18300,8828.2002
18400,8947.5996
18500,9056.5996
18600,8852.0996
18700,9006.4004
18800,8972.0000
18900,9177.9004
19000,9369.5000
19100,9276.2998
19200,9449.7002
19300,8512.0996
19400,8105.6001
19500,8721.9004
19600,8331.4004
19700,8103.7002
19800,8954.0000
19900,8773.0996
20000,9454.0000
20100,9532.9004
20200,9555.9004
20300,8857.0996
20400,9587.7002
20500,9403.0000
20600,9805.4004
20700,9858.0996
20800,9986.0000
20900,9922.9004
21000,9665.2002
21100,10084.0000
21200,10047.7002
21300,10282.5000
21400,10217.5000
21500,10145.5996
21600,10316.9004
21700,10594.7998
21800,10571.2998
21900,10717.2998
22000,10594.4004
22100,10558.5000
22200,10688.5996
22300,10952.7998
22400,10904.7998
22500,10915.7998
22600,10833.2998
22700,10863.7002
22800,11143.0996
22900,11049.5996
23000,11307.4004
23100,11347.5996
23200,11323.7002
23300,11261.2002
23400,11297.4004
23500,11472.7998
23600,11406.2002
23700,11509.9004
23800,11641.7998
23900,11676.0996
24000,11750.5000
24100,11570.2998
24200,11849.0000
24300,11944.5000
24400,11673.9004
24500,11787.7002
24600,11830.0000
24700,11985.5000
24800,12209.0000
24900,12243.7002
25000,12039.4004
25100,12127.4004
25200,12052.5996
25300,12256.9004
25400,12308.2002
25500,12333.5000
25600,12396.7002
25700,12541.0000
25800,12487.4004
25900,12520.0996
26000,12636.0000
26100,12481.0996
26200,12783.7002
26300,12728.0000
26400,12798.5996
26500,12821.2002
26600,12954.7998
26700,13061.9004
26800,13062.7998
26900,12970.5000
27000,13098.7002
27100,13351.7002
27200,13269.5000
27300,13390.4004
27400,13491.2998
27500,13424.9004
27600,13604.0996
27700,13444.7002
27800,13786.5996
27900,13720.9004
28000,13619.7998
28100,13699.2998
28200,13780.2998
28300,13858.5000
28400,13808.9004
28500,14005.7998
28600,14039.4004
28700,13988.7998
28800,14136.5000
28900,13990.5000
29000,14122.5996
29100,14084.5000
29200,14316.4004
29300,14332.5000
29400,14377.7002
29500,14420.2998
29600,14392.0996
29700,14535.9004
29800,14635.0996
29900,14534.0000
30000,14488.7998
30100,14564.9004
30200,14864.5996
30300,14737.5000
30400,14963.7998
30500,14826.7002
30600,14833.7002
